"","P21452_153","P21452_161","P21452_165","P21452_169","P21452_173","P21452_177","P21452_181","P21452_189"
"PS_chr11_G047370",21.003,25,70.933,29.928,68.415,14.935,24.814,69
"PS_chr11_G047371",3050.374,2812.964,2303.748,2558.508,2079.14,3223.421,1269.51,1640.606
"PS_chr11_G047372",2,0,4,3,2,1,1,0
"PS_chr11_G047373",139,136.014,171.111,154.039,276.797,245,122.133,167.018
"PS_chr11_G047374",397.016,290.026,344,547.211,451.039,291.346,155.973,592.226
"PS_chr11_G047375",0,0,0,0,0,0,0,0
"PS_chr11_G047376",338.863,199.205,291.076,450.234,419.841,280.644,175.317,352.732
"PS_chr11_G047377",0,0,0,0,0,2,0,0
"PS_chr11_G047378",0,0,0,0,0,0,0,0
"PS_chr11_G047379",2,2,0,4,4,0,6,1.002
"PS_chr11_G047380",1.137,6.795,10.62,11.876,20.489,12.356,8.791,44.08
"PS_chr11_G047381",43.021,73.135,312.27,91.967,489.906,108.064,95.622,252.95
"PS_chr11_G047382",5,0,8.111,12.254,30.078,2.979,3,6.237
"PS_chr11_G047383",14,6,36.483,43.44,80.24,25.273,15.783,33.046
"PS_chr11_G047384",6.979,7.876,23.327,22.339,27.688,13.873,14.613,7.778
"PS_chr11_G047385",0,3,6,1,0,2,0,0
"PS_chr11_G047386",3828.373,4111.022,3671.846,4290.251,4854.055,3101.46,2199.762,3354.539
"PS_chr11_G047388",18.006,24,17.817,1,6,17,3.988,9.072
"PS_chr11_G047389",418.228,410.34,352.254,414.917,546.248,385,317.379,364
"PS_chr11_G047390",298.058,250.295,429.987,326.051,460.501,250.257,136,457.35
"PS_chr11_G047391",16806.898,14738.829,9340.142,17460.964,16770.281,11424.145,8049.643,13815.316
"PS_chr11_G047392",235.132,210,293.135,277.058,350.037,210.214,162,241.026
"PS_chr11_G047393",107,78,54,93,29,42,9,67
"PS_chr11_G047394",1,1,4,1,12,5,1,6
"PS_chr11_G047395",1369.824,1239.12,2452.417,1534.125,2052.807,793.901,781.205,1608.19
"PS_chr11_G047397",0,0,0,4,0,0,0,0
"PS_chr11_G047398",847.009,623.082,391,621.27,647.343,615.378,407.605,770.445
"PS_chr11_G047399",0,0,0,0,1,0,0,0
"PS_chr11_G047400",41.203,60.461,21.457,7.569,34.415,54.096,45.038,87.023
"PS_chr11_G047401",0,0,0,0,0,0,0,0
"PS_chr11_G047402",90,60,141,107,239,82.082,70.001,119
"PS_chr11_G047403",65.828,28.807,0,139.307,142.904,489.808,171.691,215.929
"PS_chr11_G047404",38.218,19.917,79,35.668,124.313,38.228,140,97.047
"PS_chr11_G047405",514.884,370.856,73.669,365.213,50.258,439.517,39.436,18.924
"PS_chr11_G047406",120.105,85.379,8.074,119.272,21.834,50.561,13.466,34
"PS_chr11_G047407",0,99.453,71,170.016,43,100.076,0,62
"PS_chr11_G047408",53.49,44.825,2.144,37.964,5.797,30.973,5.336,1.009
"PS_chr11_G047409",128.718,34.944,15.568,55.215,38,62.846,30.004,38.579
"PS_chr11_G047410",21.002,10.046,0,16.08,0,6.998,2.232,0
"PS_chr11_G047411",0,0,0,0,0,0,0,0
"PS_chr11_G047412",60.107,41.048,10.001,33,2,14.873,10,14
"PS_chr11_G047413",288.089,151.441,52.545,197.393,67.695,80.079,6.76,56.716
"PS_chr11_G047414",13.755,19.609,17,15.589,18.002,0,5,4
"PS_chr11_G047415",0,0,0,0,0,0,0,0
"PS_chr11_G047416",0,0,0,0,0,0,0,0
"PS_chr11_G047417",6,0,2.016,1,3,0,0,6
"PS_chr11_G047418",35.179,34.724,1.26,57.321,0,0,14.024,1.807
"PS_chr11_G047419",141.9,251.596,67.432,231.741,19.655,0,46.172,8.585
"PS_chr11_G047420",106.067,171.878,52.679,222.229,14.262,3,12.131,19.768
"PS_chr11_G047421",42.629,61.295,11.063,104.981,3.874,0,21.475,4.511
"PS_chr11_G047422",0,0,1,0,0,0,0,0
"PS_chr11_G047423",38,36,20,42,6,14,5,21
"PS_chr11_G047424",0,0,0,0,0,0,0,0
"PS_chr11_G047425",0,0,0,0,0,0,0,0
"PS_chr11_G047426",0,0,5,0,0,0,0,1
"PS_chr11_G047427",2,0,2,3,0,0,0,2
"PS_chr11_G047428",0,0,0,4,0,0,0,0
"PS_chr11_G047429",17254.817,12048.385,1938.131,13139.493,6358.059,11283.535,2408.277,3204.811
"PS_chr11_G047430",0,0,0,0,0,0,0,0
"PS_chr11_G047431",8108.724,4090.454,123.741,4280.33,25,4609.114,19.999,51
"PS_chr11_G047432",137.796,96.232,6.259,105.641,0,123.695,1.001,0
"PS_chr11_G047433",367.939,367.777,90.859,404.769,210.63,809.446,66.621,98.659
"PS_chr11_G047434",1100.521,419.23,6.011,766.649,1.002,358.77,0,1.001
"PS_chr11_G047435",481.718,95.792,1,116.538,0,98.073,0,0
"PS_chr11_G047436",1,0,0,0,0,0,0,0
"PS_chr11_G047437",4.217,17,1,0,28,0,40,73.089
"PS_chr11_G047438",1,2,60,4,14,4,1,14
"PS_chr11_G047439",0,0,0,0,0,0,0,0
"PS_chr11_G047440",55,51,154,103,157,40,37,143
"PS_chr11_G047441",12.285,13.452,16.986,12.455,39.734,16.551,3.242,48.457
"PS_chr11_G047442",1.013,0,17.167,11.215,65.711,0,18.417,35.764
"PS_chr11_G047443",2,0,0,0,0,0,0,0
"PS_chr11_G047444",6114.694,5211.533,2999.831,7316.41,5395.88,6310.919,5478.57,4808.135
"PS_chr11_G047445",1067.921,1086.321,1136.981,1170.744,1509.756,1025.817,960.596,1383.278
"PS_chr11_G047446",297,100,125.004,141,99,158.278,14,74.184
"PS_chr11_G047447",1682.32,1459.31,1060.063,1918.386,1173.999,1515.787,913.438,893.454
"PS_chr11_G047448",0,0,0,0,0,0,0,0
"PS_chr11_G047449",0,0,0,0,0,0,0,0
"PS_chr11_G047451",0,0,0,0,0,0,0,0
"PS_chr11_G047452",0,0,0,0,0,0,0,0
"PS_chr11_G047454",0,0,0,0,0,0,0,0
"PS_chr11_G047455",343.084,238.42,1252.076,447.332,1050.242,242.737,674.165,881.504
"PS_chr11_G047456",85.044,58.733,665.709,103.687,336.179,80.263,136.386,470.167
"PS_chr11_G047457",237,271,753.74,459.996,1064.03,253.989,600.912,938.038
"PS_chr11_G047458",1309.196,1279.659,1215.601,1664.15,1342.43,1067.868,540.977,1227.44
"PS_chr11_G047459",1129.732,749.156,1412.036,1008.255,2333.985,644.306,1076.641,1871.609
"PS_chr11_G047460",0,0,0,0,0,0,0,0
"PS_chr11_G047462",0,0,0,0,0,0,0,0
"PS_chr11_G047463",3192.861,2359.593,2760.261,4048.999,4594.072,2502.73,1704.458,3772.382
"PS_chr11_G047464",629.916,862.99,606.988,591.575,424.828,532.966,281.186,296.995
"PS_chr11_G047465",10,11,7,14,20,19,13,19
"PS_chr11_G047466",452,448,406.928,1029.05,378.362,488.374,149,341.411
"PS_chr11_G047467",116.639,36.495,3,171.446,18,57.073,115.957,164.698
"PS_chr11_G047468",96.071,207.487,76.63,107.658,81.353,114.468,105.814,162.732
"PS_chr11_G047469",5819.702,3794.923,4157.715,6132.71,7646.118,4386.334,2988.756,6583.583
"PS_chr11_G047470",234.366,31.345,202.451,304.739,673.396,143.333,187.568,595.669
"PS_chr11_G047471",512.05,444.147,683.962,525.299,849.851,449.917,521.547,557.156
"PS_chr11_G047472",6,0,4,1,6,0,1,3
"PS_chr11_G047473",5330.851,4557.653,4017.698,6231.446,5588.95,3781.912,2517.524,4196.931
"PS_chr11_G047477",50,24,72,22,178,109,98,84
"PS_chr11_G047478",1,1,0,0,0,0,0,1
"PS_chr11_G047479",369,406.32,474.517,547.331,845.176,288.644,378.127,673.747
"PS_chr11_G047481",130.641,62.412,70.555,550.382,55.721,261.302,60.972,73.562
"PS_chr11_G047482",5,4,0,1.219,0,0,1,0
"PS_chr11_G047483",1,8,16.541,0,15.787,3.637,5.595,7.711
"PS_chr11_G047484",113.359,78.593,61.445,94.153,51.662,17.659,13.028,59.289
"PS_chr11_G047485",0,0,0,2.781,0,1,0,0
"PS_chr11_G047486",6,5,1.459,9,7.213,3.363,5.435,2.289
"PS_chr11_G047487",75.999,80.069,67.958,61.007,160.584,84,93.999,122.397
"PS_chr11_G047489",260.897,357.076,160.422,261.739,272.133,293.954,121.175,150.813
"PS_chr11_G047490",134.99,210.182,398.853,111.163,239.187,265.419,121.797,210.77
"PS_chr11_G047491",41.993,35.947,36.384,60.015,43.888,24.754,13.817,33.16
"PS_chr11_G047492",1496.727,1650.106,1211.839,2263.772,1639.296,1491.443,710.107,1318.814
"PS_chr11_G047493",1546.507,1068.128,977.719,1530.962,1516.485,958.649,473.938,962.528
"PS_chr11_G047494",5618.567,5407.908,2884.824,6055.311,3772.638,5385.579,2012.382,3415.475
"PS_chr11_G047495",37,10,3,7,0,11,4,0
"PS_chr11_G047496",4604.01,1482.993,6262.195,6556.977,12919.708,4123.089,10448.324,8718.152
"PS_chr11_G047497",0,0,1.001,0,0,0,5.009,0
"PS_chr11_G047498",165,55.981,2289.945,278.352,4795.354,98,1124.204,4155.637
"PS_chr11_G047499",386,120.019,1621.57,753.299,8411.459,375,3384.491,5965.076
"PS_chr11_G047500",2093.164,1697.596,1353.385,1917.622,2079.627,1456.297,820.808,1826.408
"PS_chr11_G047501",0,0,0,0,0,0,0,0
"PS_chr11_G047502",0,0,0,0,0,0,0,0
"PS_chr11_G047503",813.366,473,942.01,844.132,1512.942,732.358,640.351,1159.639
"PS_chr11_G047505",3065.696,2939.13,2700.633,3427.495,3796.211,2387.86,1757.196,3203.731
"PS_chr11_G047506",2494.14,2211.649,2288.423,2612.62,3177.556,1960.994,1797.744,3068.354
"PS_chr11_G047507",30,16,17,12,2,31,0,4
"PS_chr11_G047508",18,0,0,3,0,40,0,0
"PS_chr11_G047509",2,8,22,0,5,7,0,2
"PS_chr11_G047510",56,43,59.108,84,77,52,56,105
"PS_chr11_G047511",149.042,105,254.883,106,320.924,39,124,306.092
"PS_chr11_G047512",6665.874,5841.3,7172.888,7457.541,10733.894,5179.843,5005.62,8546.508
"PS_chr11_G047513",0,0,0,0,0,0,0,0
"PS_chr11_G047516",0,0,0,0,0,0,0,0
"PS_chr11_G047517",8011.321,5730.24,4389.132,9982.261,8295.184,5768.899,2903.956,6173.949
"PS_chr11_G047519",23.073,3.101,72.61,48.727,3.002,21.15,0,0
"PS_chr11_G047520",112.905,76.227,174.426,703.712,10.957,282.357,0,10.436
"PS_chr11_G047521",380.023,255.044,355.789,1204.878,33.041,468.849,6,20.564
"PS_chr11_G047522",0,0,19,0,2,4,7,0
"PS_chr11_G047523",0,0,0,0,0,0,0,0
"PS_chr11_G047524",2770.195,1936.632,2093.533,2727.61,3619.007,1839.015,1610.675,2292.01
"PS_chr11_G047525",423.232,241.31,330.09,356.006,272.996,232.418,84,278.316
"PS_chr11_G047526",0,0,0,0,0,0,0,0
"PS_chr11_G047527",2346.351,1933.568,2915.126,2270.024,5433.664,1774.741,2030.689,4747.529
"PS_chr11_G047528",1414.059,1219.147,1020.089,1865.191,1382.983,756.554,705.667,1262.358
"PS_chr11_G047529",956.569,1082.285,1798.1,994.686,3491.054,753.773,1857.976,3024.418
"PS_chr11_G047530",1871.63,1185.642,1496.075,1719.652,3409.171,1256.703,1274.802,2380.507
"PS_chr11_G047531",0,0,0,0,0,0,0,0
"PS_chr11_G047532",33.581,58.652,179.768,11.129,252.887,29.304,294.712,435.837
"PS_chr11_G047533",226,171,135.163,148,326,155.194,173.724,228.118
"PS_chr11_G047534",0,0,0,0,0,0,0,0
"PS_chr11_G047536",5,8,19,24,16,9,24,17
"PS_chr11_G047537",0,0,1,0,0,0,0,0
"PS_chr11_G047538",4,0,8,4,13,0,4,10
"PS_chr11_G047539",0,0,3,0,34,27,5,27
"PS_chr11_G047541",6,0,0,6,1,1,0,0
"PS_chr11_G047542",0,0,1,0,1,2,0,1
"PS_chr11_G047543",0,0,0,0,0,0,0,0
"PS_chr11_G047544",20,27,810.196,29,1135.229,9.021,378.41,363.986
"PS_chr11_G047545",653.259,773.978,934.145,1140.593,1608.957,505.21,594.811,1162.565
"PS_chr11_G047546",1456.437,934.376,3101.317,982.375,5198.39,1148.614,5717.074,3248.028
"PS_chr11_G047547",0,0,2,0,4,0,0,2
"PS_chr11_G047548",0,0,0,0,0,0,0,0
"PS_chr11_G047549",0,0,2,0,2,0,0,0
"PS_chr11_G047550",629.93,684.322,1144.751,746.316,1465.357,605.531,710.931,1086.17
"PS_chr11_G047551",1873.516,1740.724,1501.104,1954.778,2096.995,1625.658,845.507,1557.721
"PS_chr11_G047552",1,6,16,5,8,14,11,13
"PS_chr11_G047553",685.184,578,696.833,956.68,872.379,432,326.287,659.578
"PS_chr11_G047554",393,418.009,757.449,704.468,694.409,263.207,238.002,483.916
"PS_chr11_G047555",888.218,891.58,1034.086,1271.715,1649.893,796.221,740.736,1305.531
"PS_chr11_G047557",2859.87,2903.913,2469.247,2821.773,3079.527,1925.687,1610.472,2670.341
"PS_chr11_G047561",1072.055,836.949,1643.599,894.966,1970.898,1000.003,1058.108,1477.289
"PS_chr11_G047562",14.914,0,2.05,1.025,36.477,0,0,7.167
"PS_chr11_G047563",929.226,984,1734.653,1139.12,2386.333,764.982,1343.358,2061.465
"PS_chr11_G047564",124,189.002,331.182,398.94,320.992,185,104,175
"PS_chr11_G047565",26.166,2,11,4,24.054,16.082,22.115,20
"PS_chr11_G047566",2305.952,2388.41,2154.728,2101.687,3627.776,1949.911,1923.597,2564.529
"PS_chr11_G047567",4,3,12,8,14,5,2,1
"PS_chr11_G047568",452.494,310.612,697.948,274.979,964.593,406.807,0,716.25
"PS_chr11_G047569",1588.798,1204.716,1693.498,1880.087,2383.706,1254.697,1139.915,1960.895
"PS_chr11_G047571",296.004,203,345.761,356.003,439.964,147,223,427.975
"PS_chr11_G047573",1,0,10,3,8,1,11,12
"PS_chr11_G047574",3601.605,2782.314,3944.717,4237.556,5409.536,2677.735,2391.104,4170.788
"PS_chr11_G047575",4311.405,3575.729,3837.786,4963.675,5382.354,3346.585,2433.208,5073.17
"PS_chr11_G047576",426.999,404.004,179,356.646,387.084,247.101,122.159,141.905
"PS_chr11_G047578",0,0,0,0,0,0,0,0
"PS_chr11_G047580",0,0,9,2,0,1,0,0
"PS_chr11_G047581",0,0,0,0,0,0,0,0
"PS_chr11_G047582",0,0,0,0,0,0,0,0
"PS_chr11_G047583",0,0,0,0,0,0,0,0
"PS_chr11_G047584",0,0,0,0,0,0,0,0
"PS_chr11_G047585",0,0,0,0,0,0,0,0
"PS_chr11_G047586",537.281,379.402,717.266,549.292,546.641,334,257.001,448.864
"PS_chr11_G047587",1764.893,1384,1898.345,1903.59,3606.769,1438.539,1594.905,3058.507
"PS_chr11_G047588",23,19,67,15.027,30,9,5,12
"PS_chr11_G047589",8,4,3,11,9,2,5,4
"PS_chr11_G047590",26.998,21,59.385,73.68,12.496,1.062,3.42,4.253
"PS_chr11_G047591",0,8,8.592,26.861,24,5.48,4.006,9.743
"PS_chr11_G047592",0,0,8.64,7.139,0,9.52,1.994,2.257
"PS_chr11_G047593",48,6,27,5,19,8,4,11
"PS_chr11_G047594",0,0,3,0,0,0,0,0
"PS_chr11_G047595",28.002,8,79.383,102.524,30.503,10.938,3.001,12.747
"PS_chr11_G047596",305.646,223.003,371.487,467.418,571.109,250,144,452.005
"PS_chr11_G047598",13,4,2,16,0,0,0,0
"PS_chr11_G047599",64,18,30,31,5,9,0,8
"PS_chr11_G047600",78,21,35.748,77,8.022,59,0,5
"PS_chr11_G047601",69,14,34.252,66.928,8,81,0,2
"PS_chr11_G047602",1,3,22.597,0,2,1,6,0
"PS_chr11_G047603",5,0,12.403,1,3,0,0,0
"PS_chr11_G047604",180,103.761,280.484,481.864,170.785,151,74,219
"PS_chr11_G047605",27.71,27.231,73.844,19.454,38.577,29.772,23.003,39.99
"PS_chr11_G047606",34.29,20.008,72.156,40.682,44.638,42.229,13.003,31.059
"PS_chr11_G047607",0,0,0,0,0,0,0,0
"PS_chr11_G047608",2,0,2,0,11,2,2,20
"PS_chr11_G047609",7,0,0,1,0,2,0,1
"PS_chr11_G047610",1287.774,1479.261,1347.223,1526.069,1743.147,977.772,815.08,1244.029
"PS_chr11_G047611",86,96.375,107.984,218,118,76.881,33,88
"PS_chr11_G047612",93,82,149,158.405,451.418,156.001,160.967,346.139
"PS_chr11_G047613",0,0,1,1,0,0,0,0
"PS_chr11_G047614",0,0,0,0,0,0,2,3
"PS_chr11_G047616",859.393,610.845,951.794,980.669,1491.316,646.743,597.541,1475.825
"PS_chr11_G047617",933.599,409.671,754.872,984.643,2016.458,623.848,854.223,1867.921
"PS_chr11_G047622",0,0,0,0,0,0,0,0
"PS_chr11_G047623",2098.533,1861.821,1529.348,1897.627,1844.698,1392.077,978.25,1766.677
"PS_chr11_G047624",0,0,0,0,0,0,0,0
"PS_chr11_G047625",1250.262,1095.905,1014.86,1080.889,1278.393,866.291,609.489,1028.009
"PS_chr11_G047626",798.634,497.298,528,1323.51,878.037,794.42,523.519,927.286
"PS_chr11_G047627",0,0,0,0,4,1,0,0
"PS_chr11_G047628",2296.425,1786.416,3396.609,2374.333,5042.167,1712.719,2428.661,3706.774
"PS_chr11_G047629",0,0,0,0,0,4,0,6
"PS_chr11_G047630",14280.584,13558.744,7560.18,10575.247,9742.516,10339.505,4311.957,6905.414
"PS_chr11_G047631",3255.148,2721.353,4115.728,4244.857,6328.379,2888.591,2716.864,4842.025
"PS_chr11_G047632",0,1,0,0,1,0,0,0
"PS_chr11_G047633",0,0,0,0,2,0,0,0
"PS_chr11_G047634",0,0,0,0,0,0,0,0
"PS_chr11_G047635",0,0,0,0,0,0,0,0
"PS_chr11_G047636",0,0,9,0,2,0,0,2.084
"PS_chr11_G047637",1840.255,1690.728,1561.029,2241.113,1700.553,1656.193,1520.19,1764.669
"PS_chr11_G047638",0,0,0,0,1,0,0,0
"PS_chr11_G047639",369,391.256,339,378.01,402.512,291.298,160.934,184.498
"PS_chr11_G047641",4138.764,3044.289,2762.241,3812.588,5815.358,2718.875,3142.922,5017.294
"PS_chr11_G047645",401.99,406.022,510.961,447.41,965.052,439.499,383.125,754.779
"PS_chr11_G047646",1669.51,1162.924,2202.059,1587.203,3868.803,1206.65,1660.645,3834.435
"PS_chr11_G047647",8,5,3,9,5.015,0,6,16
"PS_chr11_G047651",0,0,0,0,0,0,0,0
"PS_chr11_G047652",0,0,0,0,0,0,0,0
"PS_chr11_G047653",380.404,359,259.666,238.08,463.544,214,325.531,545.956
"PS_chr11_G047654",170.63,69.873,270.015,379.582,487.101,131.415,130.195,473.328
"PS_chr11_G047655",526.796,449.508,909.227,1012.28,1248.403,419.744,389.595,1047.09
"PS_chr11_G047656",0,0,1,1,3,3,1,1
"PS_chr11_G047658",24,16,97,81,78.995,12,5,41
"PS_chr11_G047659",1045.267,977.995,970.417,1060.688,1215.003,693.033,732.049,1072.447
"PS_chr11_G047661",0,0,0,0,0,0,0,0
"PS_chr11_G047662",1160.727,1425,1094.013,1675.152,1289.067,971.172,574,1140.095
"PS_chr11_G047663",0,1,0,0,0,0,0,0
"PS_chr11_G047664",91,69,24,98,28,60,21.021,40
"PS_chr11_G047665",588.063,538.053,651.659,474.062,1158.696,438.834,521.793,758.901
"PS_chr11_G047666",20.56,9.556,0,0,6.018,1,2,6
"PS_chr11_G047667",19.634,2.67,0,4,0,0,0,0
"PS_chr11_G047668",0,0,0,0,0,0,0,0
"PS_chr11_G047669",607.19,532,120.739,393.069,187.027,258.246,140.027,189
"PS_chr11_G047671",0,0,0,0,0,0,0,0
"PS_chr11_G047672",14.004,0,4,21.965,8.286,0,0,6
"PS_chr11_G047673",0,0,0,0,0,0,0,0
"PS_chr11_G047674",57.996,11,82,101.035,19.714,60,2,11
"PS_chr11_G047675",6,0,7,1,27,22,13,22
"PS_chr11_G047676",0,0,0,0,0,0,0,0
"PS_chr11_G047677",6,2,2.002,5,0,8,0,3
"PS_chr11_G047678",26.873,44.044,57.712,30.995,38.218,85.62,18.125,81.394
"PS_chr11_G047679",83.381,88.022,356.362,100.588,294.863,175.491,118.264,496.423
"PS_chr11_G047680",17.747,15.934,160.445,18.573,81.919,48.889,35.906,203.588
"PS_chr11_G047681",47,11,108.015,60.989,69.027,65,26,22
"PS_chr11_G047682",874,449,620.489,676.995,296.447,564.982,77,221.035
"PS_chr11_G047683",30,53,165,27,34,29,10,33
"PS_chr11_G047685",0,0,0,0,0,0,0,0
"PS_chr11_G047686",0,0.891,0,0,0,0,0,0
"PS_chr11_G047687",6,6,18,4,59,13,19,38
"PS_chr11_G047688",20.009,0,113.709,11.62,159.803,170.232,103.945,14.176
"PS_chr11_G047689",84.331,66.091,270.325,114.716,523.565,206.897,179.195,895.644
"PS_chr11_G047690",123.912,108.687,337.527,155.899,555.697,245.129,216.642,556.603
"PS_chr11_G047691",18263.732,11671.714,5387.333,14727.05,13512.336,12360.037,5954.593,8803.673
"PS_chr11_G047692",104,131,155,453,78,19,1,588.44
"PS_chr11_G047693",12,26,72,37,43,13,13,140.987
"PS_chr11_G047694",32.956,10.344,29.992,17.292,15.43,8.791,0,58.381
"PS_chr11_G047695",0,0,0,0,0,0,0,1.411
"PS_chr11_G047696",0,0,0,3.009,1,0,0,1.003
"PS_chr11_G047697",174.015,165,462,241.991,166,227,51,179.76
"PS_chr11_G047698",78,105,165,75.005,266.933,91,163,219.013
"PS_chr11_G047699",15,2,50,37,81.522,13,9,78
"PS_chr11_G047700",361,340.293,453.011,418.066,526,260.99,271.195,346.263
"PS_chr11_G047701",187.224,268.076,327.881,218.275,348.809,1.403,206.36,285.031
"PS_chr11_G047702",287,184,733.041,573.307,860.249,261,189,604.556
"PS_chr11_G047703",1,60,30,81,117,0,51,92
"PS_chr11_G047704",4581.445,3529.992,2712.951,3946.643,3401.307,2847.104,1419.422,2581.095
"PS_chr11_G047705",6,0,0,7.2,0,5,1,1
"PS_chr11_G047706",3,0,1,8.8,3,3,2,2
"PS_chr11_G047707",4745.482,4044.248,911.16,4310.458,974.453,4400.98,400.824,847.172
"PS_chr11_G047708",6,0,0,0,3,0,0,0
"PS_chr11_G047709",128.022,85,195,70.074,383.897,59,110,346.83
"PS_chr11_G047710",659.081,596.023,704.071,649.765,1107.514,583.038,457.548,885.864
"PS_chr11_G047711",3398.948,2975.811,3114.121,4693.418,4234.297,2881.44,1704.924,3441.374
"PS_chr11_G047712",646,563.025,973.002,933.364,1293.004,314.885,348.076,1136.486
"PS_chr11_G047713",610,445,454.014,582.017,936.497,453.479,322,632.318
"PS_chr11_G047714",0,0,1,3,2,0,1,13
"PS_chr11_G047717",114,92.005,107,125.043,204.008,101,146.034,153.087
"PS_chr11_G047718",150.986,143,107,47,116.034,219,73,63
"PS_chr11_G047719",0,1,0,0,0,0,0,0
"PS_chr11_G047720",620.063,885.269,901,526.928,745.639,527.053,448.13,853.003
"PS_chr11_G047721",264,470.593,262,293,102.002,343,109.064,339.429
"PS_chr11_G047722",0,0,0,0,0,0,0,0
"PS_chr11_G047723",86,65,128,53,67,44,18,57
"PS_chr11_G047724",0,0,0,0,0,0,0,0
"PS_chr11_G047725",419.365,669.061,742.136,595.767,890.049,520.197,325.08,538.168
"PS_chr11_G047726",0,2,1,1,0,3,0,0
"PS_chr11_G047727",598,426.011,297,579.033,651.219,485,213.22,528.952
"PS_chr11_G047729",5971.987,4278.725,8295.057,7577.141,5535.44,4808.206,2596.781,5815.363
"PS_chr11_G047730",0,2,2,5,22,1,0,29
"PS_chr11_G047731",0,0,0,0,0,0,0,0
"PS_chr11_G047732",16137.688,16367.515,15173.529,17821.759,31574.867,12295.01,15418.48,21464.321
"PS_chr11_G047733",0,0,0,0,0,0,0,0
"PS_chr11_G047734",4998.479,4459.996,5786.082,5950.067,9666.351,3489.225,5634.923,10062.878
"PS_chr11_G047735",207,227,288,220,287,263,139.999,169.176
"PS_chr11_G047736",782,887.851,733.961,1277.71,986.934,643.628,444.366,771.156
"PS_chr11_G047739",341,737.001,567,743.86,526.292,268.074,223.275,430.535
"PS_chr11_G047740",2,0,0,0,0,0,2.68,0
"PS_chr11_G047741",0,0,0,0,0,0,0,2
"PS_chr11_G047742",2199.694,1905.866,1817.925,2621.403,3382.291,1804.408,1454.093,2909.423
"PS_chr11_G047743",0,4,1.992,3.999,4,0,0,1.006
"PS_chr11_G047744",1044.888,942.633,398.913,542.107,774.138,827.83,454.829,538.257
"PS_chr11_G047746",235.219,230.943,99.063,452.877,203.766,238.001,83,116.007
"PS_chr11_G047747",6,11,17,10,17,3,1,16
"PS_chr11_G047748",791.737,875.191,1014.22,1089.134,1162.024,715.253,584.08,978.849
"PS_chr11_G047749",1,1,6,0,0,1,0,2
"PS_chr11_G047750",443,687,61,80.93,85,290,8,34
"PS_chr11_G047751",0,0,0,0,0,0,0,0
"PS_chr11_G047752",4,18,10,1,2,22,13,0
"PS_chr11_G047753",37,65,18,57,27,110,6,3
"PS_chr11_G047754",834.274,871,632.116,918.477,613.55,624.076,466.748,497.667
"PS_chr11_G047755",36,15,13,30,13.001,55,53,23
"PS_chr11_G047756",575.008,464,633.291,601,740.784,449.182,365.514,640.891
"PS_chr11_G047757",364,424.006,912.611,425.721,1175.648,140,377.552,997.266
"PS_chr11_G047758",7432.87,6130.53,4578.767,7367.049,7402.962,4945.455,3828.158,6763.542
"PS_chr11_G047761",1251.265,1064.331,1904.08,1369.784,2662.066,1053.063,1049.523,2661.934
"PS_chr11_G047762",0,0,0,0,0,0,0,0
"PS_chr11_G047763",0,0,0,0,0,0,0,0
"PS_chr11_G047764",303,151,348,266.032,522.089,331,339.835,548.008
"PS_chr11_G047765",0,21,20,16,0,0,0,0
"PS_chr11_G047766",13.928,20,8,10,14.408,5.245,0,0
"PS_chr11_G047767",4.072,0,0,0,11.592,10.755,25,17
"PS_chr11_G047768",3,0,0,11.853,4,2,3,1
"PS_chr11_G047769",107,137,431.369,275.901,904.352,152.039,417.786,568.932
"PS_chr11_G047770",3,0,7,3,13,0,8,0
"PS_chr11_G047771",216,203.331,457,437.43,330,194.012,50,265.181
"PS_chr11_G047772",0,0,0,0,7.707,0,0,0
"PS_chr11_G047773",4,0,11.459,24,4.338,0,0,4
"PS_chr11_G047774",121,150,360.541,262.692,483.965,118,366,550.024
"PS_chr11_G047775",849.602,659.646,940.386,1122.956,1179.238,711.553,653.319,995.658
"PS_chr11_G047777",326.021,311,1112.616,437.7,1553.171,317,517.355,1110.036
"PS_chr11_G047779",1238.964,1289.997,1176,1534.181,2157.012,743.389,1042.999,2110.162
"PS_chr11_G047780",5,0,0,8,6,2,5,5
"PS_chr11_G047781",5203.123,1684.113,1137.9,1168.603,1204.813,1419.972,380.927,754.4
"PS_chr11_G047782",36,13,85,46,207.135,57,52,129
"PS_chr11_G047783",542,389,339.128,342.058,592.438,389,246,443.032
"PS_chr11_G047784",6,0,4,0,4,3,0,1.725
"PS_chr11_G047785",0,0,0,1.064,0,0,2,14.275
"PS_chr11_G047786",2458.759,2580.852,1968.159,3151.189,1894.836,2039.114,884.868,1747.647
"PS_chr11_G047787",0,0,0,2,0,0,0,0
"PS_chr11_G047788",34,42,43.027,64,75,17,11,53.007
"PS_chr11_G047789",3834.757,3151.415,5458.227,3931.847,3926.931,2407.473,1328.577,2498.085
"PS_chr11_G047791",1623.098,513.144,718.114,2096.187,1591.388,1737.062,1227.993,1126.266
"PS_chr11_G047792",868.971,1471.819,2888.49,1273.131,4123.655,958.45,1832.048,1773.6
"PS_chr11_G047793",18,26,100,34.206,134,20,62.028,96.957
"PS_chr11_G047794",581.289,426,298,275.126,429.088,362.657,278.669,385.002
"PS_chr11_G047795",158.027,105,218,189,365.081,153,159.952,295.648
